Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.222538139,0.03888864,0.265209509,0.189910278,0.149161535,0.176278015,0.15301907,0.134106112,0.165454682,0.160976451
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,5.581268756,1.123551888,1.962653917,1.89564639,1.896239708,1.855071711,1.769117961,1.882939997,2.013003806,2.187476318
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,10.96677472,11.43958054,8.577525877,8.655477512,8.041711215,8.437851999,8.314931808,8.151095679,8.196338589,8.095583954
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,1.313148875,1.783495567,2.271403237,2.413423219,2.514601766,2.365340621,2.161272835,2.18934835,2.064980862,2.050685078
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Croatia,HRV,4.257574464,4.037327826,4.079616457,3.997002654,3.831644469,3.948992432,4.043744105,4.221085948,4.019234669,4.063707833
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,France,FRA,6.137338876,6.124614634,5.153951699,5.129519032,4.616052854,4.677807228,4.70474678,4.749542598,4.572030089,4.459547465
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iceland,ISL,7.65228038,7.930157714,5.799523611,6.269999047,6.261721492,6.227045154,4.859303764,4.863133247,4.819673475,4.548442258
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Italy,ITA,7.145018163,7.662168039,6.327708948,5.751905744,5.38747546,5.563259469,5.498165145,5.437857589,5.37687093,5.311315442
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Qatar,QAT,28.39191713,44.36965215,39.3984246,37.42076185,36.87572559,35.11179773,33.49303982,32.2816777,31.23540631,32.76177492
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Africa,ZAF,6.210508815,6.080754972,8.030477632,8.110092581,8.184426594,7.602658848,7.534967744,7.691396451,7.575039606,7.568640115
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 03/30/2023,,,,,,,,,,,,,
