Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,59.75473802,72.80453258,..,..,..,..,..,..,..,..,..,..
Australia,66.23301718,70.11871383,..,..,..,..,..,..,..,..,..,..
Belgium,58.80574452,61.88118812,..,..,..,..,..,..,..,..,..,..
Brazil,84.88641144,82.52373491,..,..,..,..,..,..,..,..,..,..
Croatia,56.93430657,48.18181818,..,..,..,..,..,..,..,..,..,..
France,65.0697314,63.85350318,..,..,..,..,..,..,..,..,..,..
Iceland,64.70588235,54.38596491,..,..,..,..,..,..,..,..,..,..
Italy,50.82478006,43.94502229,..,..,..,..,..,..,..,..,..,..
Qatar,5.109489051,5.752212389,..,..,..,..,..,..,..,..,..,..
South Africa,39.80669813,49.72035794,..,..,..,..,..,..,..,..,..,..
