Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,2840,3480,4720,4770,5090,4620,5050,5270,4690,5010
Australia,78290,98360,106510,62980,75330,71810,57330,79460,76800,60870
Belgium,8170,7680,4950,4840,4820,4780,4620,4570,4590,4580
Brazil,106270,123930,166610,167210,174020,171370,175480,183640,178490,182050
Croatia,2940,2390,2330,1730,1700,1840,1610,1740,1740,1720
France,61290,49090,37300,38280,38530,39150,37650,38620,38120,38260
Iceland,390,380,360,350,370,380,370,380,380,370
Italy,26420,26670,16730,16560,16200,16330,16320,16180,15390,15340
Qatar,100,150,450,480,530,560,610,630,620,650
South Africa,19010,19710,20090,19600,19870,18680,17920,19630,19240,18510
