Year,Australia,Belgium,Chile,Canada,France
2005y,18.34231341,10.55578237,3.460211752,17.02748527,6.024207509
2006y,18.36050142,10.30057207,3.498713712,16.5953499,5.839386178
2007y,18.52107744,9.843115874,3.914391861,17.38057011,5.667293697
2008y,18.30374888,9.984152183,4.080674185,16.55692294,5.560603924
2009y,18.22313904,9.231701273,3.888092376,15.50214503,5.311780898
2010y,17.59006927,9.794792242,4.101936926,15.79214123,5.347945928
2011y,17.29541584,8.740505152,4.45277178,15.9959443,5.128759961
2012y,17.02204223,8.577525877,4.521453066,15.73447396,5.153951699
2013y,16.44231571,8.655477512,4.74016879,15.83846027,5.129519032
2014y,15.863288,8.437851999,4.60153513,15.64858561,4.677807228
2015y,15.91465712,8.314931808,4.782712706,15.42060171,4.70474678
2016y,15.82324174,8.151095679,4.740160313,15.54457104,4.749542598
2017y,15.50348628,8.196338589,4.631191732,15.65057904,4.572030089
2018y,15.25361834,8.095583954,4.798974486,15.43061283,4.459547465
